"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26125130700","Census Tract 1307; Oakland County; Michigan","6695","null",
"1400000US26125131100","Census Tract 1311; Oakland County; Michigan","2205","null",
"1400000US26125131300","Census Tract 1313; Oakland County; Michigan","4796","null",
"1400000US26125131400","Census Tract 1314; Oakland County; Michigan","2219","null",
"1400000US26125131500","Census Tract 1315; Oakland County; Michigan","3727","null",
"1400000US26125131600","Census Tract 1316; Oakland County; Michigan","2456","null",
"1400000US26125131800","Census Tract 1318; Oakland County; Michigan","3769","null",
"1400000US26125132100","Census Tract 1321; Oakland County; Michigan","6347","null",
"1400000US26125132500","Census Tract 1325; Oakland County; Michigan","3531","null",
"1400000US26125132600","Census Tract 1326; Oakland County; Michigan","4223","null",
"1400000US26125132700","Census Tract 1327; Oakland County; Michigan","2989","null",
"1400000US26125133001","Census Tract 1330.01; Oakland County; Michigan","2807","null",
"1400000US26125133002","Census Tract 1330.02; Oakland County; Michigan","3728","null",
"1400000US26125133003","Census Tract 1330.03; Oakland County; Michigan","3991","null",
"1400000US26125133101","Census Tract 1331.01; Oakland County; Michigan","4749","null",
"1400000US26125133102","Census Tract 1331.02; Oakland County; Michigan","1918","null",
"1400000US26125134000","Census Tract 1340; Oakland County; Michigan","4987","null",
"1400000US26125134300","Census Tract 1343; Oakland County; Michigan","4955","null",
"1400000US26125134400","Census Tract 1344; Oakland County; Michigan","4701","null",
"1400000US26125134500","Census Tract 1345; Oakland County; Michigan","3632","null",
"1400000US26125134600","Census Tract 1346; Oakland County; Michigan","4019","null",
"1400000US26125134700","Census Tract 1347; Oakland County; Michigan","3255","null",
"1400000US26125134800","Census Tract 1348; Oakland County; Michigan","3083","null",
"1400000US26125134900","Census Tract 1349; Oakland County; Michigan","3995","null",
"1400000US26125135000","Census Tract 1350; Oakland County; Michigan","3481","null",
"1400000US26125135100","Census Tract 1351; Oakland County; Michigan","5502","null",
"1400000US26125135200","Census Tract 1352; Oakland County; Michigan","3515","null",
"1400000US26125135300","Census Tract 1353; Oakland County; Michigan","5181","null",
"1400000US26125136000","Census Tract 1360; Oakland County; Michigan","3333","null",
"1400000US26125136101","Census Tract 1361.01; Oakland County; Michigan","5674","null",
"1400000US26125136102","Census Tract 1361.02; Oakland County; Michigan","4386","null",
"1400000US26125136300","Census Tract 1363; Oakland County; Michigan","5222","null",
"1400000US26125136500","Census Tract 1365; Oakland County; Michigan","5650","null",
"1400000US26125136601","Census Tract 1366.01; Oakland County; Michigan","4904","null",
"1400000US26125136602","Census Tract 1366.02; Oakland County; Michigan","3574","null",
"1400000US26125136700","Census Tract 1367; Oakland County; Michigan","6004","null",
"1400000US26125136800","Census Tract 1368; Oakland County; Michigan","6298","null",
"1400000US26125137101","Census Tract 1371.01; Oakland County; Michigan","4160","null",
"1400000US26125137102","Census Tract 1371.02; Oakland County; Michigan","8327","null",
"1400000US26125137400","Census Tract 1374; Oakland County; Michigan","7154","null",
"1400000US26125137700","Census Tract 1377; Oakland County; Michigan","1717","null",
"1400000US26125137800","Census Tract 1378; Oakland County; Michigan","3326","null",
"1400000US26125138100","Census Tract 1381; Oakland County; Michigan","6704","null",
"1400000US26125138301","Census Tract 1383.01; Oakland County; Michigan","4492","null",
"1400000US26125138302","Census Tract 1383.02; Oakland County; Michigan","8366","null",
"1400000US26125138600","Census Tract 1386; Oakland County; Michigan","3553","null",
"1400000US26125139201","Census Tract 1392.01; Oakland County; Michigan","3877","null",
"1400000US26125139202","Census Tract 1392.02; Oakland County; Michigan","2883","null",
"1400000US26125139400","Census Tract 1394; Oakland County; Michigan","5142","null",
"1400000US26125140101","Census Tract 1401.01; Oakland County; Michigan","1605","null",
"1400000US26125140301","Census Tract 1403.01; Oakland County; Michigan","4121","null",
